Interacting Pair,First CM,Second CM,Mean Reduction,Standard Deviation,Interaction Seen
"[15, 14]",Private Indoor Gathering Person Limit - 10,Private Indoor Gathering Person Limit - 2,-0.13891,0.089,True
"[2, 8]",Leisure Venues Closed,Public Indoor Gathering Person Limit - 1,0.10545,0.02218,True
"[13, 12]",Private Indoor Gathering Person Limit - 1,Extra Public Indoor Household Limit,0.40346,0.01579,True
"[5, 10]",Primary Schools Closed,Public Indoor Gathering Person Limit - 10,0.00954,0.01768,False
"[17, 0]",Extra Private Indoor Household Limit,Night Clubs Closed,0.02936,0.03064,False
"[6, 3]",Secondary Schools Closed,Retail Closed,-0.14003,0.03165,True
"[11, 9]",Public Indoor Gathering Person Limit - 30,Public Indoor Gathering Person Limit - 2,0.07861,0.05581,True
"[17, 18]",Extra Private Indoor Household Limit,Mandatory Mask Wearing >= 3,0.2876,0.01967,True
"[14, 3]",Private Indoor Gathering Person Limit - 2,Retail Closed,0.21449,0.01748,True
"[2, 6]",Leisure Venues Closed,Secondary Schools Closed,-0.43162,0.02414,True
"[11, 0]",Public Indoor Gathering Person Limit - 30,Night Clubs Closed,0.21314,0.02042,True
"[15, 1]",Private Indoor Gathering Person Limit - 10,Gastronomy Closed,0.06032,0.02519,True
"[13, 5]",Private Indoor Gathering Person Limit - 1,Primary Schools Closed,-0.05738,0.02436,True
"[10, 16]",Public Indoor Gathering Person Limit - 10,Private Indoor Gathering Person Limit - 30,0.22347,0.01682,True
"[9, 12]",Public Indoor Gathering Person Limit - 2,Extra Public Indoor Household Limit,0.0408,0.03333,True
